Date,Product,Category,Store,Quantity,Price,Total Revenue
2023-01-01,Mouse,Gadgets,Walmart Store 8,7,1807,12649
2023-01-01,Headphones,Home Appliances,Walmart Store 8,3,944,2832
2023-01-02,TV,Home Appliances,Walmart Store 19,16,282,4512
2023-01-04,Headphones,Electronics,Walmart Store 9,17,1296,22032
2023-01-05,Phone,Home Appliances,Walmart Store 8,9,958,8622
2023-01-05,Laptop,Electronics,Walmart Store 5,3,1629,4887
2023-01-07,Phone,Electronics,Walmart Store 11,4,1346,5384
2023-01-08,Keyboard,Electronics,Walmart Store 6,13,1940,25220
2023-01-09,Laptop,Home Appliances,Walmart Store 17,9,1737,15633
2023-01-10,Printer,Gadgets,Walmart Store 20,7,974,6818
2023-01-11,Headphones,Gadgets,Walmart Store 12,5,844,4220
2023-01-11,Camera,Gadgets,Walmart Store 16,4,1686,6744
2023-01-11,Mouse,Electronics,Walmart Store 18,3,160,480
2023-01-14,Camera,Electronics,Walmart Store 3,14,1605,22470
2023-01-14,Mouse,Gadgets,Walmart Store 19,5,1680,8400
2023-01-15,Keyboard,Gadgets,Walmart Store 10,4,847,3388
2023-01-15,Printer,Gadgets,Walmart Store 8,7,139,973
2023-01-17,Keyboard,Gadgets,Walmart Store 20,3,215,645
2023-01-17,TV,Gadgets,Walmart Store 19,19,764,14516
2023-01-18,Mouse,Electronics,Walmart Store 20,9,653,5877
2023-01-19,Phone,Home Appliances,Walmart Store 4,1,1539,1539
2023-01-20,Mouse,Electronics,Walmart Store 11,3,644,1932
2023-01-23,Mouse,Electronics,Walmart Store 20,16,1599,25584
2023-01-23,Keyboard,Home Appliances,Walmart Store 10,17,434,7378
2023-01-25,Keyboard,Electronics,Walmart Store 4,8,130,1040
2023-01-25,Monitor,Electronics,Walmart Store 13,4,1379,5516
2023-01-27,Phone,Electronics,Walmart Store 15,7,1860,13020
2023-01-29,Monitor,Home Appliances,Walmart Store 15,3,1421,4263
2023-01-29,Headphones,Electronics,Walmart Store 9,17,1715,29155
2023-01-29,Laptop,Electronics,Walmart Store 2,9,517,4653
2023-02-01,Monitor,Gadgets,Walmart Store 18,8,716,5728
2023-02-03,Printer,Electronics,Walmart Store 5,14,896,12544
2023-02-04,Laptop,Gadgets,Walmart Store 7,12,878,10536
2023-02-05,Monitor,Gadgets,Walmart Store 5,5,74,370
2023-02-07,Monitor,Home Appliances,Walmart Store 16,12,154,1848
2023-02-07,Printer,Electronics,Walmart Store 5,8,1777,14216
2023-02-07,Laptop,Gadgets,Walmart Store 10,11,1255,13805
2023-02-08,Keyboard,Electronics,Walmart Store 9,11,833,9163
2023-02-09,Camera,Gadgets,Walmart Store 7,3,872,2616
2023-02-10,Camera,Gadgets,Walmart Store 11,9,1514,13626
2023-02-11,Phone,Home Appliances,Walmart Store 20,19,996,18924
2023-02-11,Phone,Home Appliances,Walmart Store 8,10,1195,11950
2023-02-11,Monitor,Home Appliances,Walmart Store 18,10,1286,12860
2023-02-15,Monitor,Electronics,Walmart Store 1,9,1746,15714
2023-02-16,TV,Home Appliances,Walmart Store 8,10,1192,11920
2023-02-18,Monitor,Home Appliances,Walmart Store 7,1,102,102
2023-02-18,Tablet,Home Appliances,Walmart Store 14,3,144,432
2023-02-20,TV,Home Appliances,Walmart Store 2,16,83,1328
2023-02-20,TV,Electronics,Walmart Store 10,1,715,715
2023-02-22,Camera,Gadgets,Walmart Store 6,12,1811,21732
2023-02-23,Mouse,Electronics,Walmart Store 14,19,77,1463
2023-02-24,Headphones,Home Appliances,Walmart Store 17,15,843,12645
2023-02-24,Phone,Home Appliances,Walmart Store 5,12,386,4632
2023-02-24,Keyboard,Home Appliances,Walmart Store 8,17,450,7650
2023-02-28,Printer,Home Appliances,Walmart Store 16,9,1655,14895
2023-03-01,TV,Home Appliances,Walmart Store 20,9,397,3573
2023-03-03,Mouse,Gadgets,Walmart Store 7,8,864,6912
2023-03-04,Tablet,Gadgets,Walmart Store 10,14,834,11676
2023-03-04,Keyboard,Gadgets,Walmart Store 16,13,1216,15808
2023-03-04,Mouse,Gadgets,Walmart Store 9,17,787,13379
2023-03-04,Headphones,Home Appliances,Walmart Store 19,12,1736,20832
2023-03-05,Headphones,Home Appliances,Walmart Store 1,18,951,17118
2023-03-08,Printer,Gadgets,Walmart Store 12,1,414,414
2023-03-08,Printer,Gadgets,Walmart Store 16,3,1481,4443
2023-03-10,Tablet,Gadgets,Walmart Store 10,8,1927,15416
2023-03-10,Headphones,Electronics,Walmart Store 9,2,1604,3208
2023-03-16,Laptop,Gadgets,Walmart Store 20,8,1923,15384
2023-03-16,Headphones,Gadgets,Walmart Store 10,19,695,13205
2023-03-17,Keyboard,Gadgets,Walmart Store 4,15,525,7875
2023-03-17,Headphones,Home Appliances,Walmart Store 9,12,1373,16476
2023-03-19,TV,Electronics,Walmart Store 15,4,222,888
2023-03-19,Mouse,Home Appliances,Walmart Store 15,16,1902,30432
2023-03-19,Headphones,Electronics,Walmart Store 6,5,799,3995
2023-03-22,Monitor,Electronics,Walmart Store 2,8,1510,12080
2023-03-23,Laptop,Gadgets,Walmart Store 17,16,116,1856
2023-03-25,Phone,Electronics,Walmart Store 3,5,175,875
